train_number,train_name,source_station,destination_station,route,scheduled_departure,actual_departure,scheduled_arrival,actual_arrival,delay_minutes,train_type,date,season
68878,AC Express Express,Ahmedabad Junction,Jaipur Junction,Ahmedabad Junction → Jaipur Junction,2024-11-07 07:15:00,2024-11-07 07:32:00,2024-11-07 12:50:00,2024-11-07 13:15:00,17.0,Express,2024-11-07,Post-Monsoon
46434,Humsafar Superfast,Chennai Central,Madurai Junction,Chennai Central → Madurai Junction,2025-02-16 16:00:00,2025-02-16 16:00:00,2025-02-17 00:03:00,2025-02-17 00:04:00,0.0,Superfast,2025-02-16,Winter
37460,Intercity Passenger,New Delhi,Chennai Central,New Delhi → Chennai Central,2025-04-18 13:05:00,2025-04-18 13:29:00,2025-04-19 09:29:00,2025-04-19 09:54:00,24.0,Passenger,2025-04-18,Summer
83579,Rajdhani Passenger,New Delhi,Kolkata Howrah,New Delhi → Kolkata Howrah,2024-07-02 20:55:00,2024-07-02 21:02:00,2024-07-03 15:14:00,2024-07-03 15:21:00,7.0,Passenger,2024-07-02,Monsoon
62565,Vande Bharat Express,Pune Junction,Secunderabad,Pune Junction → Secunderabad,2024-06-21 05:25:00,2024-06-21 05:27:00,2024-06-21 13:15:00,2024-06-21 13:19:00,2.0,Express,2024-06-21,Monsoon
99353,Superfast Passenger,Bengaluru City,Chennai Central,Bengaluru City → Chennai Central,2024-04-06 10:40:00,2024-04-06 11:14:00,2024-04-07 08:27:00,2024-04-07 09:05:00,34.0,Passenger,2024-04-06,Summer
61173,Vande Bharat Express,New Delhi,Jaipur Junction,New Delhi → Jaipur Junction,2024-11-20 14:45:00,2024-11-20 14:48:00,2024-11-21 07:43:00,2024-11-21 07:50:00,3.0,Express,2024-11-20,Post-Monsoon
10851,Rajdhani Passenger,Mumbai Central,Nagpur Junction,Mumbai Central → Nagpur Junction,2025-05-09 20:00:00,2025-05-09 20:12:00,2025-05-10 02:34:00,2025-05-10 02:54:00,12.0,Passenger,2025-05-09,Summer
62350,Tejas Superfast,Mumbai Central,Ahmedabad Junction,Mumbai Central → Ahmedabad Junction,2025-04-26 05:25:00,2025-04-26 05:31:00,2025-04-26 16:21:00,2025-04-26 16:25:00,6.0,Superfast,2025-04-26,Summer
57052,Express Express,Ahmedabad Junction,Jaipur Junction,Ahmedabad Junction → Jaipur Junction,2025-09-28 18:10:00,2025-09-28 18:52:00,2025-09-29 04:04:00,2025-09-29 04:49:00,42.0,Express,2025-09-28,Post-Monsoon
18326,Intercity Express,New Delhi,Amritsar Junction,New Delhi → Amritsar Junction,2024-02-25 16:30:00,2024-02-25 16:58:00,2024-02-26 08:09:00,2024-02-26 08:47:00,28.0,Express,2024-02-25,Winter
44973,Gatimaan Passenger,Chennai Central,Hyderabad Deccan,Chennai Central → Hyderabad Deccan,2025-05-17 08:00:00,2025-05-17 08:02:00,2025-05-18 08:18:00,2025-05-18 08:30:00,2.0,Passenger,2025-05-17,Summer
46421,Vande Bharat Passenger,Madurai Junction,Chennai Central,Madurai Junction → Chennai Central,2024-11-21 09:55:00,2024-11-21 10:29:00,2024-11-21 16:43:00,2024-11-21 17:22:00,34.0,Passenger,2024-11-21,Post-Monsoon
68800,Express Passenger,Bengaluru City,Hyderabad Deccan,Bengaluru City → Hyderabad Deccan,2025-01-24 09:50:00,2025-01-24 09:53:00,2025-01-24 22:52:00,2025-01-24 22:53:00,3.0,Passenger,2025-01-24,Winter
39256,Antyodaya Express,Pune Junction,Secunderabad,Pune Junction → Secunderabad,2025-03-22 12:10:00,2025-03-22 12:16:00,2025-03-22 17:22:00,2025-03-22 17:34:00,6.0,Express,2025-03-22,Summer
