train_number,train_name,source_station,destination_station,route,scheduled_departure,actual_departure,scheduled_arrival,actual_arrival,delay_minutes,train_type,date,season,delay_category,day_of_week,month,travel_duration_hours,year_month
98696,Gatimaan Express,Kolkata Howrah,Patna Junction,Kolkata Howrah → Patna Junction,2024-08-03 08:45:00,2024-08-03 09:27:00,2024-08-03 18:44:00,2024-08-03 19:22:00,42,Express,2024-08-03,Monsoon,Major Delay,Saturday,8,9.98,2024-08
59615,Duronto Passenger,Mumbai Central,Ahmedabad Junction,Mumbai Central → Ahmedabad Junction,2024-06-08 20:40:00,2024-06-08 21:08:00,2024-06-09 21:36:00,2024-06-09 22:01:00,28,Passenger,2024-06-08,Monsoon,Major Delay,Saturday,6,24.93,2024-06
46500,Garib Rath Express,Mumbai Central,Bengaluru City,Mumbai Central → Bengaluru City,2024-06-27 08:25:00,2024-06-27 09:36:00,2024-06-27 14:43:00,2024-06-27 15:56:00,71,Express,2024-06-27,Monsoon,Major Delay,Thursday,6,6.3,2024-06
56438,Duronto Express,New Delhi,Amritsar Junction,New Delhi → Amritsar Junction,2025-03-18 10:50:00,2025-03-18 11:09:00,2025-03-19 00:32:00,2025-03-19 00:58:00,19,Express,2025-03-18,Summer,Minor Delay,Tuesday,3,13.7,2025-03
51245,Mail Express,Jaipur Junction,Ahmedabad Junction,Jaipur Junction → Ahmedabad Junction,2024-09-10 22:00:00,2024-09-10 22:02:00,2024-09-11 03:49:00,2024-09-11 03:51:00,2,Express,2024-09-10,Post-Monsoon,On-Time,Tuesday,9,5.82,2024-09
28373,Humsafar Superfast,Kolkata Howrah,Ranchi,Kolkata Howrah → Ranchi,2024-01-02 08:40:00,2024-01-02 09:21:00,2024-01-02 13:49:00,2024-01-02 14:32:00,41,Superfast,2024-01-02,Winter,Major Delay,Tuesday,1,5.15,2024-01
38746,Intercity Express,Agra Cantt,New Delhi,Agra Cantt → New Delhi,2024-01-30 20:50:00,2024-01-30 21:42:00,2024-01-31 09:18:00,2024-01-31 10:16:00,52,Express,2024-01-30,Winter,Major Delay,Tuesday,1,12.47,2024-01
40982,Duronto Passenger,Ranchi,Kolkata Howrah,Ranchi → Kolkata Howrah,2024-12-13 12:35:00,2024-12-13 12:50:00,2024-12-14 12:23:00,2024-12-14 12:39:00,15,Passenger,2024-12-13,Winter,Minor Delay,Friday,12,23.8,2024-12
10074,Vande Bharat Passenger,New Delhi,Mumbai Central,New Delhi → Mumbai Central,2024-11-11 15:15:00,2024-11-11 15:17:00,2024-11-12 04:05:00,2024-11-12 04:05:00,2,Passenger,2024-11-11,Post-Monsoon,On-Time,Monday,11,12.83,2024-11
31798,Mail Superfast,Hyderabad Deccan,Bengaluru City,Hyderabad Deccan → Bengaluru City,2025-10-20 10:40:00,2025-10-20 10:54:00,2025-10-20 20:34:00,2025-10-20 20:58:00,14,Superfast,2025-10-20,Post-Monsoon,Minor Delay,Monday,10,9.9,2025-10
